,name,date,null_px,snow_px,cloud_px,shadow_px,vegetation_px,not_vegetation_px,water_px,uncertain_px
194,southern_cairngorms,2020-04-25 11:43:51,0,28991,120999,23315,497131,219156,6533,25146
195,beinn_dearg,2020-04-25 11:43:51,0,8486,1638,57,39734,51014,23,2709
196,northern_cairngorms,2022-03-26 11:43:51,0,396207,394,13435,623805,286040,4714,0
197,monadh_liath,2022-03-26 11:43:51,0,238036,21344,8439,404086,173595,940,5277
198,southern_cairngorms,2022-03-26 11:43:51,1,124585,113,5732,619596,164154,7090,0
199,beinn_dearg,2022-03-26 11:43:51,0,23910,9502,2274,29157,36684,78,2056
200,northern_cairngorms,2019-03-11 11:21:09,1324595,0,0,0,0,0,0,0
201,monadh_liath,2019-03-11 11:21:09,851717,0,0,0,0,0,0,0
202,southern_cairngorms,2019-03-11 11:21:09,921271,0,0,0,0,0,0,0
203,beinn_dearg,2019-03-11 11:21:09,103661,0,0,0,0,0,0,0
204,northern_cairngorms,2021-09-29 11:33:19,0,4092,396133,243961,470995,62407,2460,144547
205,monadh_liath,2021-09-29 11:33:19,0,1242,163733,156838,437119,22149,114,70522
206,southern_cairngorms,2021-09-29 11:33:19,0,0,152230,145407,516610,28609,4439,73976
207,beinn_dearg,2021-09-29 11:33:19,0,0,55706,17712,12418,1246,0,16579
208,northern_cairngorms,2019-05-16 11:43:59,0,16564,7315,7590,786006,492157,5018,9945
209,monadh_liath,2019-05-16 11:43:59,0,393,516,191,715828,133800,585,404
210,southern_cairngorms,2019-05-16 11:43:59,0,566,672,3095,789234,119045,6842,1817
211,beinn_dearg,2019-05-16 11:43:59,0,12,13,34,82684,20883,0,35
212,northern_cairngorms,2023-05-19 11:21:19,1324595,0,0,0,0,0,0,0
213,monadh_liath,2023-05-19 11:21:19,851717,0,0,0,0,0,0,0
214,southern_cairngorms,2023-05-19 11:21:19,921271,0,0,0,0,0,0,0
215,beinn_dearg,2023-05-19 11:21:19,103661,0,0,0,0,0,0,0
216,northern_cairngorms,2019-01-30 11:23:19,1324595,0,0,0,0,0,0,0
217,monadh_liath,2019-01-30 11:23:19,851717,0,0,0,0,0,0,0
218,southern_cairngorms,2019-01-30 11:23:19,921271,0,0,0,0,0,0,0
219,beinn_dearg,2019-01-30 11:23:19,103661,0,0,0,0,0,0,0
220,northern_cairngorms,2020-02-17 11:33:19,0,978371,272615,25060,4749,110,1760,41930
221,monadh_liath,2020-02-17 11:33:19,0,638374,187191,20595,0,0,1127,4430
222,southern_cairngorms,2020-02-17 11:33:19,0,552611,65225,94034,108944,4238,18619,77600
223,beinn_dearg,2020-02-17 11:33:19,0,60823,41589,1249,0,0,0,0
224,northern_cairngorms,2019-03-09 11:33:11,0,453723,768810,51976,3794,211,354,45727
225,monadh_liath,2019-03-09 11:33:11,0,540917,165126,28898,62246,10001,874,43655
226,southern_cairngorms,2019-03-09 11:33:11,0,311636,297209,87173,126200,31417,4537,63099
227,beinn_dearg,2019-03-09 11:33:11,0,66762,36800,67,0,0,30,2
228,northern_cairngorms,2022-06-04 11:44:01,0,7141,24500,10192,1018051,256013,4999,3699
229,monadh_liath,2022-06-04 11:44:01,0,24,35671,15615,781356,14964,499,3588
230,southern_cairngorms,2022-06-04 11:44:01,0,121,125019,59970,713378,16622,5261,900
231,beinn_dearg,2022-06-04 11:44:01,0,16,3257,2199,94434,3555,2,198
232,northern_cairngorms,2020-12-23 11:34:09,0,192101,992551,134910,0,0,1793,3240
233,monadh_liath,2020-12-23 11:34:09,0,250617,156817,272339,6048,0,81680,84216
234,southern_cairngorms,2020-12-23 11:34:09,0,27785,356455,365795,0,9,129335,41892
235,beinn_dearg,2020-12-23 11:34:09,0,1,75031,26185,0,0,0,2444
236,northern_cairngorms,2021-12-13 11:35:01,0,316258,283796,303569,4898,1743,357855,56476
237,monadh_liath,2021-12-13 11:35:01,0,281445,246080,74339,17302,6292,121036,105223
238,southern_cairngorms,2021-12-13 11:35:01,0,18472,696723,169318,2619,136,1069,32934
239,beinn_dearg,2021-12-13 11:35:01,0,18650,46619,23751,68,5,13409,1159
240,northern_cairngorms,2019-08-26 11:33:21,6,0,10829,16180,1192628,94511,4039,6402
241,monadh_liath,2019-08-26 11:33:21,0,0,31917,10151,775265,20271,196,13917
242,southern_cairngorms,2019-08-26 11:33:21,0,0,1445,4637,897218,11128,5335,1508
243,beinn_dearg,2019-08-26 11:33:21,0,0,9145,5203,79492,5671,0,4150
244,northern_cairngorms,2019-02-10 11:43:51,0,832524,102676,191613,69409,4027,32335,92011
245,monadh_liath,2019-02-10 11:43:51,2,603170,55133,47485,86135,5357,6417,48018
246,southern_cairngorms,2019-02-10 11:43:51,0,384892,60616,178270,138394,32043,29985,97071
247,beinn_dearg,2019-02-10 11:43:51,0,71310,7197,9016,6276,437,2332,7093
248,northern_cairngorms,2020-03-10 11:21:11,1324595,0,0,0,0,0,0,0
249,monadh_liath,2020-03-10 11:21:11,851717,0,0,0,0,0,0,0
250,southern_cairngorms,2020-03-10 11:21:11,921271,0,0,0,0,0,0,0
251,beinn_dearg,2020-03-10 11:21:11,103661,0,0,0,0,0,0,0
252,northern_cairngorms,2019-05-06 11:43:59,0,215821,761851,58088,160222,47923,3022,77668
253,monadh_liath,2019-05-06 11:43:59,0,1100,694097,29208,84560,6400,0,36352
254,southern_cairngorms,2019-05-06 11:43:59,0,21324,260834,101933,394947,80626,1947,59660
255,beinn_dearg,2019-05-06 11:43:59,0,1216,63286,10776,17533,4231,15,6604
256,northern_cairngorms,2019-09-23 11:43:49,0,77324,924528,159796,64329,6219,4997,87402
257,monadh_liath,2019-09-23 11:43:49,0,42785,687089,24295,23804,6854,22,66868
